"日期","收市","開市","高","低","成交量","更改%"
"2014年4月2日","120.00","120.50","121.00","119.00","43.68K","0.42%"
"2014年4月1日","119.50","119.00","119.50","118.50","40.64K","0.84%"
"2014年3月31日","118.50","118.00","118.50","116.50","47.15K","0.85%"
"2014年3月28日","117.50","116.00","117.50","115.50","43.79K","1.29%"
"2014年3月27日","116.00","114.50","116.00","114.00","31.40K","0.43%"
"2014年3月26日","115.50","115.50","116.00","114.50","45.23K","1.76%"
"2014年3月25日","113.50","111.50","113.50","111.50","38.07K","0.89%"
"2014年3月24日","112.50","111.50","112.50","111.50","29.61K","0.00%"
"2014年3月21日","112.50","114.00","114.00","112.00","60.44K","0.45%"
"2014年3月20日","112.00","113.00","113.50","112.00","46.51K","-2.18%"
"2014年3月19日","114.50","114.50","115.00","113.50","35.24K","0.00%"
"2014年3月18日","114.50","114.50","115.00","113.50","37.52K","0.44%"
"2014年3月17日","114.00","114.50","115.00","113.00","33.91K","-0.87%"
"2014年3月14日","115.00","115.00","115.50","114.00","47.11K","-1.29%"
"2014年3月13日","116.50","116.50","117.50","115.50","59.08K","3.10%"
"2014年3月12日","113.00","112.50","113.00","112.00","18.41K","-0.88%"
"2014年3月11日","114.00","113.50","114.50","113.50","29.18K","0.88%"
"2014年3月10日","113.00","114.50","114.50","112.50","38.43K","-1.31%"
"2014年3月7日","114.50","114.00","115.00","113.50","66.92K","1.33%"
"2014年3月6日","113.00","110.00","113.50","110.00","72.62K","2.73%"
"2014年3月5日","110.00","108.50","110.00","108.50","55.45K","2.33%"
"2014年3月4日","107.50","108.00","108.00","107.50","48.94K","-0.46%"
"2014年3月3日","108.00","108.00","108.00","106.50","62.47K","0.00%"
"2014年2月27日","108.00","107.50","108.00","107.50","49.35K","0.47%"
"2014年2月26日","107.50","107.50","108.00","107.00","34.98K","-0.46%"
"2014年2月25日","108.00","107.50","108.00","106.50","34.35K","0.93%"
"2014年2月24日","107.00","107.50","108.00","106.00","32.06K","-0.47%"
"2014年2月21日","107.50","107.00","107.50","107.00","31.51K","0.94%"
"2014年2月20日","106.50","106.50","107.00","106.00","28.47K","-1.39%"
"2014年2月19日","108.00","108.00","108.00","107.00","28.89K","0.00%"
"2014年2月18日","108.00","108.50","108.50","107.50","22.29K","-0.46%"
"2014年2月17日","108.50","108.00","108.50","107.50","34.37K","0.93%"
"2014年2月14日","107.50","106.50","107.50","106.50","42.74K","2.38%"
"2014年2月13日","105.00","105.00","106.00","105.00","19.63K","0.00%"
"2014年2月12日","105.00","105.00","105.50","104.50","25.31K","0.48%"
"2014年2月11日","104.50","104.50","105.00","104.00","23.52K","1.46%"
"2014年2月10日","103.00","104.00","104.50","103.00","26.24K","-0.96%"
"2014年2月7日","104.00","103.50","104.50","103.00","54.19K","1.96%"
"2014年2月6日","102.00","101.00","103.00","101.00","73.84K","1.49%"
"2014年2月5日","100.50","102.00","102.00","100.50","147.20K","-4.29%"
"2014年1月27日","105.00","106.00","106.50","104.00","65.27K","-2.78%"
"2014年1月24日","108.00","107.00","108.50","107.00","34.06K","0.47%"
"2014年1月23日","107.50","108.50","108.50","107.50","28.31K","0.00%"
"2014年1月22日","107.50","106.00","107.50","106.00","28.73K","0.94%"
"2014年1月21日","106.50","108.50","108.50","106.00","25.12K","-0.93%"
"2014年1月20日","107.50","107.00","108.50","107.00","24.30K","0.00%"
"2014年1月17日","107.50","108.00","108.50","107.00","55.77K","0.47%"
"2014年1月16日","107.00","106.00","107.50","106.00","49.60K","1.90%"
"2014年1月15日","105.00","104.00","106.00","104.00","54.46K","1.45%"
"2014年1月14日","103.50","102.50","103.50","102.00","21.72K","0.49%"
"2014年1月13日","103.00","103.00","103.50","102.50","22.08K","0.98%"
"2014年1月10日","102.00","102.00","102.50","101.50","36.29K","0.99%"
"2014年1月9日","101.00","102.50","103.00","100.50","64.22K","-2.88%"
"2014年1月8日","104.00","103.00","104.50","102.50","30.93K","1.96%"
"2014年1月7日","102.00","102.50","103.00","102.00","18.80K","-0.49%"
"2014年1月6日","102.50","102.00","103.00","102.00","23.73K","0.00%"
"2014年1月3日","102.50","103.00","103.00","102.00","41.16K","-1.91%"
"2014年1月2日","104.50","105.00","105.50","103.50","15.13K","-0.95%"
"2013年12月31日","105.50","105.50","106.00","105.00","24.48K","-0.47%"
"2013年12月30日","106.00","104.00","106.00","104.00","44.28K","1.44%"
"2013年12月27日","104.50","103.50","104.50","103.00","24.14K","0.48%"
"2013年12月26日","104.00","103.00","104.00","103.00","6.79K","0.97%"
"2013年12月25日","103.00","102.50","103.50","102.50","9.79K","0.00%"
"2013年12月24日","103.00","104.00","104.00","103.00","14.08K","-0.96%"
"2013年12月23日","104.00","103.00","104.50","103.00","28.39K","1.96%"
"2013年12月20日","102.00","101.50","103.50","101.50","37.62K","-0.49%"
"2013年12月19日","102.50","102.00","103.00","101.50","27.82K","1.49%"
"2013年12月18日","101.00","102.50","103.00","101.00","66.10K","-2.42%"
"2013年12月17日","103.50","103.00","104.50","103.00","26.23K","1.47%"
"2013年12月16日","102.00","102.50","103.00","102.00","18.77K","-0.49%"
"2013年12月13日","102.50","102.50","103.50","102.50","28.30K","-0.49%"
"2013年12月12日","103.00","104.50","104.50","103.00","18.54K","-1.90%"
"2013年12月11日","105.00","103.50","105.00","103.50","24.61K","0.96%"
"2013年12月10日","104.00","104.50","105.00","104.00","22.94K","-0.95%"
"2013年12月9日","105.00","104.00","105.00","104.00","23.97K","1.94%"
"2013年12月6日","103.00","103.00","104.50","103.00","25.36K","-0.96%"
"2013年12月5日","104.00","105.00","105.00","103.50","25.21K","-0.95%"
"2013年12月4日","105.00","103.50","105.50","103.50","23.63K","0.96%"
"2013年12月3日","104.00","104.00","105.00","103.50","26.81K","-0.48%"
"2013年12月2日","104.50","105.00","105.50","104.00","19.04K","-0.48%"
"2013年11月29日","105.00","104.50","105.00","104.00","34.47K","0.00%"
"2013年11月28日","105.00","105.00","105.50","104.50","23.00K","0.00%"
"2013年11月27日","105.00","105.00","105.50","104.50","22.85K","1.45%"
"2013年11月26日","103.50","102.00","105.00","101.50","47.19K","2.48%"
"2013年11月25日","101.00","101.00","102.50","101.00","30.95K","1.00%"
"2013年11月22日","100.00","100.00","101.50","100.00","57.16K","-0.99%"
"2013年11月21日","101.00","102.00","103.00","100.50","57.00K","-1.94%"
"2013年11月20日","103.00","104.00","104.00","102.50","46.68K","-1.90%"
"2013年11月19日","105.00","104.50","105.50","104.00","34.51K","0.96%"
"2013年11月18日","104.00","104.50","105.00","104.00","25.30K","0.00%"
"2013年11月15日","104.00","103.50","104.50","103.50","19.90K","0.48%"
"2013年11月14日","103.50","104.00","104.50","103.50","29.93K","0.49%"
"2013年11月13日","103.00","105.00","105.00","103.00","26.71K","-1.90%"
"2013年11月12日","105.00","106.00","106.00","104.50","31.99K","0.48%"
"2013年11月11日","104.50","105.00","106.00","104.50","21.49K","-1.42%"
"2013年11月8日","106.00","105.00","106.50","105.00","31.48K","-0.93%"
"2013年11月7日","107.00","107.00","107.50","106.00","15.94K","0.00%"
